Sample ID,AmphibID,Timepoint,Date,Month,Season,Year,Season_Year,Month_Year,Temp,Temperatue Range,DO,DO range,pH,pH range,Substrate Addition,PD_whole_tree,chao1,observed_species,shannon,simpson,denovo35285,222554,299516,254938,4308371,4452634,denovo7650,3091248,denovo79939,518380,2685602,denovo48477,829133,4426763,denovo44378,269781,358042,235695,545997,786420,1145138,4425214,344394,554250,2139822,4418260,denovo20814,410048,149152,denovo21032,137981,707147,denovo11242,4479347,109263,denovo32796,817117,309489,denovo62958,4414951,denovo82447,denovo51930,4345285,denovo55484,91962,denovo39094,denovo30849,denovo9128,219439,denovo53994,252822,denovo28483,140829,denovo82673,4353625,3877343,719367,218154,359872,4456068,4406967,denovo29116,denovo59947,4378239,denovo40356,539296,denovo36375,107461,557138,denovo20674,537062,denovo40545,4316720,denovo80651,845178,269930,817507,denovo51483,4449458,denovo30758,denovo76,4430952,4303191,denovo50816,68617,denovo9991,4320368,denovo14820,denovo43247,1105883,denovo2982,159950,151176,394796,denovo8416,denovo15258,3701019,315609,2360704,130455,denovo80779,2534143,640071,322934,306704,640392,811462,4469492,1708706,61836,denovo38973,306546,147678,denovo62583,560243,denovo12172,denovo30172,806467,denovo16247,denovo14719,denovo45023,221589,denovo42557,4347599,2912622,160679,325027,denovo29889,814442,denovo50101,denovo16474,635524,denovo38171,4370747,512114,denovo31946,4364813,4386920,4449609,654212,denovo67954,4468125,412392,denovo53733,4369970,668514,denovo73199,3330580,4311486,denovo25227,1932541,denovo52193,denovo9916,1123414,647775,4388545,676117,denovo55920,219151,2881877,1141330,3979725,denovo23720,268968,4451011,1119668,4454257,denovo76781,4395995,denovo81419,4457829,denovo70073,denovo38936,denovo20358,denovo9091,denovo37527,4388385,denovo20555,denovo5183,denovo9801,1114798,denovo12055,denovo75330,4451302,denovo80856,140359,2119418,4419276,4428924,119663,denovo26765,4350881,125270,denovo24900,denovo37197,denovo239,denovo23964,2458172,1139932,211171,denovo40374,4422388,4466646,4481624,93726,133961,denovo21903,denovo25929,denovo22893,denovo8095,4456889,denovo43794,4473756,denovo58601,847670,4298361,denovo21680,denovo72529,4466618,643362,610486,4323897,182643,4429445,TOTAL NUMBER OF SEQS PER SAMPLE
LTEE.16..3,16,3,12.2.11,Dec,Winter,2011,Winter2011,Dec2011,4.9,<12C,11.2,>10,5.8,5-6,Pre substrate addition,16.39169,173.5454545,134,2.06240416,0.495158663,34,15,1,0,401,0,14,1,55,3,0,26,0,1,0,24,10,119,0,1,48,1,3,0,0,0,0,4,0,0,0,0,1,0,2,1,1,4,0,158,0,0,1,4,0,2,7,4,2,9,5,0,1,3,2,0,0,0,0,7,14,0,1,3125,0,0,19,1,27,15,398,62,22,0,177,1,0,0,0,5,34,0,0,0,4,56,24,0,5,4,0,0,0,8,1,1,1,0,0,18,19,1,15,2,0,1,0,0,44,0,33,1,0,0,1,0,12,0,24,0,0,0,0,2,0,14,1,46,0,44,9,2,42,0,0,0,0,2,2,556,8,253,18,0,7,0,0,8,0,89,3,4,76,82,23,4,28,1,0,53,0,103,0,0,4,9,13,12,1,9,3,1,35,0,0,0,13,1,24,0,8,7,5,12,84,20297,0,1366,7,0,0,12,0,0,1,0,1,0,11,1,0,0,4,0,29,6,0,5,0,0,0,0,363,3,0,0,3,0,15,1,1,2,0,0,29000
LTEE.16..4,16,4,4.4.12,Apr,Spring,2012,Spring2012,Apr2012,17.8,12-19C,9.03,8 to 10,7.61,>7,Pre substrate addition,13.05416,149,87,0.598799597,0.117798521,0,3,0,1,0,0,0,5,0,9,0,1,1,0,0,0,0,7,0,0,85,2,3,0,1,0,1,0,7,0,1,3,0,1,0,0,28,20,0,103,0,6,4,0,0,0,0,23,0,4,0,0,2,1,7,0,1,0,0,0,70,1,0,8,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,78,0,1,30,1,1,1,0,2,0,2,3,0,0,1,0,0,22,2,0,0,0,66,0,1,0,0,0,1,0,0,25,191,0,0,0,0,17,0,0,2,0,0,21,0,1,13,0,0,0,1,0,1,131,5,0,91,0,12,0,0,0,0,1,0,0,18,0,36,1,0,1,6,435,0,0,0,0,3,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,13,0,27233,0,3,1,5,0,0,2,0,3,0,0,0,1,0,0,0,0,0,35,0,0,49,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,5,29000
LTEE.16..5,16,5,5.16.12,May,Spring,2012,Spring2012,May2012,18.2,12-19C,9.1,8 to 10,5.14,5-6,Pre substrate addition,14.91264,153.4285714,132,2.443371261,0.599629084,20,4,0,1,55,0,0,6,13,5,0,15,8,0,0,0,1,20,3,0,65,3,0,0,0,0,0,1,15,0,0,3,0,20,1,3,12,34,1,95,0,2,4,1,4,0,4,14,0,0,1,0,2,6,24,0,2,0,1,1,151,1,3,2318,0,0,20,2,43,12,1023,42,58,0,701,0,0,4,0,1,34,1,0,0,3,21,44,0,14,26,0,1,0,0,0,1,0,0,0,13,2,6,19,8,2,6,0,0,55,0,28,0,0,0,0,0,25,4,229,0,0,0,0,12,3,0,4,54,0,45,0,11,5,0,0,0,0,2,2,338,5,1252,48,0,48,1,0,4,1,31,5,0,16,239,30,15,0,1,1,415,0,5,0,0,6,0,86,0,0,0,1,0,33,0,0,1,2,4,4,0,2,8,7,8,23,17899,0,2715,4,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,22,3,1,18,0,0,2,0,85,4,0,1,2,0,28,0,5,33,0,4,29000
LTEE.16..6,16,6,6.27.12,Jun,Summer,2012,Summer2012,Jun2012,23.9,>19C,na,na,4,<5,Pre substrate addition,15.51632,153.9,135,1.805551623,0.43647244,33,14,0,0,16,0,0,2,23,3,5,2,0,2,1,1,1,97,1,17,62,1,0,0,1,0,0,2,0,0,0,2,0,4,124,0,15,27,0,168,0,2,4,2,0,0,1,10,47,6,1,0,3,3,9,0,0,0,0,9,101,0,0,3195,0,0,17,0,1,2,0,6,2,0,85,7,6,1,0,1,3,3,0,0,1,36,75,0,0,19,0,1,0,39,0,3,4,3,9,15,12,7,0,15,0,0,0,17,48,5,3,3,0,0,0,0,13,1,170,0,0,0,4,7,1,0,2,8,0,71,2,1,42,0,0,0,0,5,0,739,2,456,59,0,5,3,0,0,0,69,2,2,86,0,37,1,0,1,0,263,1,50,0,0,2,40,0,5,4,1,9,0,19,2,0,0,1,0,7,0,8,0,0,8,60,21504,2,20,6,0,0,12,0,0,4,1,1,0,16,50,0,0,0,0,35,2,2,28,0,1,1,0,560,3,0,0,1,1,0,0,1,8,0,6,29000
LTEE.16..7,16,7,8.9.12,Aug,Summer,2012,Summer2012,Aug2012,24.7,>19C,7.5,<8,6.12,6-7,Post substrate addition 1,16.86035,165.1764706,154,2.517699918,0.605040849,6,8,0,23,62,0,3,0,5,15,5,4,2,1,4,27,0,4538,5,6,49,22,0,0,0,0,0,122,0,5,14,3,4,3,1,2,13,17,3,137,0,1,2,0,2,7,0,12,1,5,133,0,3,1,8,1,0,1,0,38,102,3,2,387,0,0,3,5,0,4,0,25,0,0,3,49,30,8,79,0,72,442,20,1,0,2,79,2,0,14,0,1,1,792,3,4,2,0,20,0,3,1,0,11,0,3,0,72,38,17,11,1,0,0,0,0,2,2,366,0,0,7,1,9,3,0,3,58,24,33,39,0,29,7,0,2,9,1,0,604,3,15,66,0,1,16,0,10,0,85,0,3,39,0,26,0,0,6,25,407,0,2,0,23,1260,13,21,6,7,1,5,1,0,18,0,2,1,8,17,0,3,1,0,10,134,17555,41,2,5,0,0,70,0,0,4,11,0,8,100,17,0,16,0,0,26,0,3,33,0,0,5,0,2,3,0,13,3,0,1,0,2,5,0,5,29000
LTEE.16..8,16,8,9.19.12,Sep,Fall,2012,Fall2012,Sep2012,16.9,12-19C,8.05,8 to 10,6.48,6-7,Post substrate addition 1,18.89951,174.5714286,161,3.14432039,0.769304109,2,3,0,45,122,0,2,4,1,4,10,7,8,0,10,35,0,9196,0,129,36,0,0,0,0,1,0,294,12,9,38,2,13,7,0,1,3,19,1,92,0,7,15,1,9,28,2,2,2,1,201,0,3,29,15,0,1,1,0,123,146,0,6,548,0,0,5,0,0,7,1,45,0,3,9,87,10,5,101,0,76,687,29,1,0,5,50,6,1,22,0,7,32,1905,0,4,15,1,37,0,7,0,0,3,0,1,0,174,33,27,38,0,0,0,0,0,2,0,44,0,0,7,13,16,0,1,3,64,38,2,33,5,23,10,0,10,12,4,4,242,3,33,7,0,3,16,0,16,0,90,0,5,12,2,18,0,0,3,2,57,1,4,0,59,2352,35,44,4,19,3,38,0,2,15,1,1,3,8,26,0,3,5,1,9,102,9950,66,5,3,10,3,121,0,0,2,14,0,23,154,26,0,26,0,0,19,0,2,4,0,0,10,0,10,0,0,30,4,3,1,0,5,293,0,1,29000
LTEE.5..1,5,1,9.9.11,Sep,Fall,2011,Fall2011,Sep2011,19.5,>19C,7.9,<8,6.532,6-7,Pre substrate addition,11.08683,138.2,92,2.222879679,0.660779351,0,85,0,0,0,0,0,1,0,8,0,0,1,1,0,0,0,13,23,3,35,0,0,0,8,0,0,1,0,0,0,4,0,3,0,0,20,18,0,832,0,5,3,0,0,0,0,7,0,38,0,0,1,19,10,0,0,4,0,0,93,45,0,8,0,0,0,7,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,11,1,0,159,0,0,15,0,2,0,1,11,0,0,1,1,0,126,0,0,0,0,0,0,2,42,8,0,28,0,0,0,0,0,7,2338,0,0,0,3,4,19,0,0,0,0,1,0,0,299,0,0,0,0,1,0,9510,4,1,158,0,6,1,0,0,2,0,2,0,417,0,23,12,0,4,0,24,0,0,0,0,5,0,0,58,0,0,1,12,0,0,0,63,0,0,0,0,9,0,1,48,0,13721,0,4,49,0,17,0,0,0,38,0,0,0,0,0,0,0,3,0,26,0,3,83,0,21,0,0,0,63,0,0,0,0,0,0,29,190,0,9,29000
LTEE.5..2,5,2,10.21.11,Oct,Fall,2011,Fall2011,Oct2011,11,<12C,10.08,>10,5.93,5-6,Pre substrate addition,17.00779,165.7692308,148,3.32481802,0.800750278,20,48,21,0,696,0,18,18,31,1,0,14,0,21,0,39,2,174,7,154,31,2,1,0,0,0,0,1,0,0,0,0,0,190,2,4,8,0,3,568,0,2,2,10,0,1,15,3,0,31,6,0,0,3,0,0,55,10,0,11,0,1,1,4510,0,0,39,5,26,7,270,68,41,6,354,0,0,1,1,4,42,0,0,4,13,52,87,3,7,0,0,0,0,7,7,4,16,5,2,42,73,4,8,4,1,0,0,0,19,2,32,7,0,0,0,0,9,5,52,7,0,0,0,0,0,2,0,28,0,9,2,1,225,1,0,0,0,0,1,5527,1,591,20,0,29,0,0,7,55,78,5,3,255,136,7,14,0,17,0,98,0,130,0,0,5,9,16,62,0,8,37,2,59,1,0,6,18,2,15,0,8,18,6,36,49,10526,0,1963,21,0,1,9,0,0,11,0,1,0,9,1,0,0,89,0,13,1,2,15,0,1,0,0,587,23,1,1,10,11,9,1,17,4,0,3,29000
LTEE.5..3,5,3,12.2.11,Dec,Winter,2011,Winter2011,Dec2011,4.9,<12C,11.2,>10,5.8,5-6,Pre substrate addition,18.52417,172.2307692,151,3.563799554,0.836328847,10,0,9,0,2170,0,4,0,1,1,0,9,2,4,5,118,8,322,10,2,1,2,79,0,3,5,0,14,0,1,0,1,10,19,5,4,0,17,0,18,1,0,5,27,6,4,46,3,0,0,42,0,2,1,21,0,8,8,0,68,75,0,15,8693,0,0,83,5,99,3,2207,8,144,1,928,2,1,3,6,36,22,1,0,0,52,48,19,9,73,8,0,0,0,23,0,2,1,3,0,89,0,6,40,0,15,1,0,1,0,4,9,0,0,0,10,0,3,4,19,0,0,0,0,7,0,25,1,7,1,1,3,12,3,1,0,0,0,8,1,155,2,1198,5,0,65,0,0,37,0,21,27,10,2,561,1,112,225,3,3,37,1,292,0,0,7,73,68,7,7,41,5,1,113,0,0,0,46,0,8,0,0,79,51,0,2,991,5,6722,2,0,0,41,0,0,1,0,7,0,40,6,0,0,15,0,3,14,1,0,0,2,3,2,1814,0,0,0,1,0,72,36,10,10,0,0,29000
LTEE.5..4,5,4,4.4.12,Apr,Spring,2012,Spring2012,Apr2012,17.8,12-19C,9.03,8 to 10,7.61,>7,Pre substrate addition,16.75201,156.6666667,145,2.814223547,0.72607926,22,9,0,1,61,0,3,6,17,3,0,22,8,0,0,0,5,34,1,5,50,0,12,0,4,0,0,3,14,0,2,4,0,1,1,5,7,29,2,86,0,2,2,11,2,2,11,15,0,2,7,0,4,4,20,0,0,5,0,0,137,1,3,4771,0,0,16,0,65,8,1031,84,98,0,1154,1,0,8,0,12,58,0,0,3,0,41,39,1,21,22,0,0,0,2,2,7,2,11,0,19,5,8,38,7,8,0,0,0,42,2,37,2,0,0,0,0,6,6,174,0,0,0,0,14,0,0,2,45,0,2,0,4,27,0,0,0,0,3,1,652,4,385,45,0,37,1,0,5,0,50,8,3,38,152,19,18,0,1,3,340,1,19,0,0,5,1,47,19,0,10,0,1,27,0,0,1,5,2,7,0,4,18,13,5,28,13513,0,4664,3,3,0,15,0,0,2,0,0,0,1,0,0,0,1,0,20,16,2,25,0,1,1,0,152,3,0,1,1,0,33,1,0,10,0,4,29000
