Sample ID,AmphibID,Timepoint,Date,Month,Season,Year,Season_Year,Month_Year,Temp,Temperatue Range,DO,DO range,pH,pH range,Substrate Addition,PD_whole_tree,chao1,observed_species,shannon,simpson,denovo35285,222554,299516,254938,4308371,4452634,denovo7650,3091248,denovo79939,518380,2685602,denovo48477,829133,4426763,denovo44378,269781,358042,235695,545997,786420,1145138,4425214,344394,554250,2139822,4418260,denovo20814,410048,149152,denovo21032,137981,707147,denovo11242,4479347,109263,denovo32796,817117,309489,denovo62958,4414951,denovo82447,denovo51930,4345285,denovo55484,91962,denovo39094,denovo30849,denovo9128,219439,denovo53994,252822,denovo28483,140829,denovo82673,4353625,3877343,719367,218154,359872,4456068,4406967,denovo29116,denovo59947,4378239,denovo40356,539296,denovo36375,107461,557138,denovo20674,537062,denovo40545,4316720,denovo80651,845178,269930,817507,denovo51483,4449458,denovo30758,denovo76,4430952,4303191,denovo50816,68617,denovo9991,4320368,denovo14820,denovo43247,1105883,denovo2982,159950,151176,394796,denovo8416,denovo15258,3701019,315609,2360704,130455,denovo80779,2534143,640071,322934,306704,640392,811462,4469492,1708706,61836,denovo38973,306546,147678,denovo62583,560243,denovo12172,denovo30172,806467,denovo16247,denovo14719,denovo45023,221589,denovo42557,4347599,2912622,160679,325027,denovo29889,814442,denovo50101,denovo16474,635524,denovo38171,4370747,512114,denovo31946,4364813,4386920,4449609,654212,denovo67954,4468125,412392,denovo53733,4369970,668514,denovo73199,3330580,4311486,denovo25227,1932541,denovo52193,denovo9916,1123414,647775,4388545,676117,denovo55920,219151,2881877,1141330,3979725,denovo23720,268968,4451011,1119668,4454257,denovo76781,4395995,denovo81419,4457829,denovo70073,denovo38936,denovo20358,denovo9091,denovo37527,4388385,denovo20555,denovo5183,denovo9801,1114798,denovo12055,denovo75330,4451302,denovo80856,140359,2119418,4419276,4428924,119663,denovo26765,4350881,125270,denovo24900,denovo37197,denovo239,denovo23964,2458172,1139932,211171,denovo40374,4422388,4466646,4481624,93726,133961,denovo21903,denovo25929,denovo22893,denovo8095,4456889,denovo43794,4473756,denovo58601,847670,4298361,denovo21680,denovo72529,4466618,643362,610486,4323897,182643,4429445,TOTAL NUMBER OF SEQS PER SAMPLE
LTEE.5..5,5,5,5.16.12,May,Spring,2012,Spring2012,May2012,18.2,12-19C,9.1,8 to 10,5.14,5-6,Pre substrate addition,10.90297,99.125,95,1.884169276,0.52988591,0,13,0,0,0,0,0,10,0,14,0,0,22,7,0,0,0,14,4,57,39,0,0,0,0,3,0,2,40,0,2,6,0,30,0,0,23,59,0,134,0,45,0,0,0,0,0,21,0,9,0,0,19,1,52,0,4,0,0,1,485,0,0,8,0,0,0,2,0,0,1,0,0,0,1,2,0,0,5,0,0,1,3,5,15,0,64,0,0,27,0,5,0,2,2,0,17,6,0,0,10,0,0,25,0,12,0,0,43,0,0,6,0,0,0,0,0,5,1242,0,0,0,0,48,2,0,17,0,0,0,0,0,19,0,0,0,2,0,0,3411,3,1,77,0,80,0,0,0,1,0,0,0,39,0,31,7,0,2,16,3134,0,0,0,0,1,0,0,8,0,0,9,5,1,0,0,8,0,0,0,0,2,0,0,13,0,19289,6,0,22,4,2,0,0,0,3,0,2,0,2,0,0,0,1,0,26,1,2,32,0,2,0,0,1,18,0,0,0,0,0,0,7,11,0,7,29000
LTEE.5..6,5,6,6.27.12,Jun,Summer,2012,Summer2012,Jun2012,23.9,>19C,na,na,4,<5,Pre substrate addition,9.44685,89.57142857,81,0.807849406,0.179625617,0,25,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,12,2,73,74,0,4,0,4,0,0,0,0,0,0,2,0,5,0,0,9,12,0,208,0,0,1,0,0,0,0,7,0,12,0,0,1,28,4,0,1,3,0,1,25,1,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,40,0,0,6,0,0,0,1,1,0,20,1,2,0,22,0,0,5,0,0,0,0,52,11,0,2,0,0,0,0,0,6,80,0,0,0,0,2,9,0,0,0,0,30,0,0,68,0,0,0,0,0,0,1214,3,1,41,0,45,0,0,0,3,0,1,0,118,0,17,6,0,0,0,151,0,0,0,0,2,0,0,15,0,0,16,0,0,0,0,1,0,0,0,0,4,0,0,10,0,26236,0,1,7,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,35,0,3,25,0,1,0,0,0,2,0,0,0,10,0,0,10,125,0,3,29000
LTEE.5..7,5,7,8.9.12,Aug,Summer,2012,Summer2012,Aug2012,24.7,>19C,7.5,<8,6.12,6-7,Post substrate addition 1,19.58408,185,164,3.290892065,0.792898892,3,18,0,27,76,0,1,0,3,2,10,1,4,2,5,79,0,7124,30,5,31,2,0,1,27,0,9,184,0,6,26,2,5,8,0,1,1,27,1,202,0,7,10,2,8,12,0,5,0,16,200,0,0,13,9,0,4,13,0,95,96,3,0,508,0,1,0,32,0,15,1,22,0,5,7,62,29,6,84,2,42,635,31,6,0,3,62,5,5,10,0,0,0,1517,3,3,1,3,28,0,14,1,0,1,3,0,0,187,25,56,21,5,0,0,0,0,0,6,225,0,0,13,0,15,12,0,0,55,24,4,29,1,72,32,0,6,6,1,4,3000,0,19,18,0,9,15,0,16,5,67,3,9,104,0,14,18,1,13,2,95,0,1,0,70,1885,22,41,49,8,1,6,5,0,13,0,3,1,13,9,0,2,1,0,12,89,10370,74,1,18,0,1,53,1,2,6,8,6,10,114,11,0,34,0,0,13,0,6,4,0,2,12,0,8,20,0,23,17,0,0,3,26,155,0,1,29000
LTEE.5..8,5,8,9.19.12,Sep,Fall,2012,Fall2012,Sep2012,16.9,12-19C,8.05,8 to 10,6.48,6-7,Post substrate addition 1,18.02677,185.0833333,164,3.586393283,0.835440851,3,21,0,30,144,0,5,3,1,4,14,8,3,0,5,64,0,7596,1,25,29,1,0,0,1,0,0,274,0,9,14,1,5,3,0,8,10,14,13,186,0,4,0,4,5,16,0,45,1,13,123,0,2,10,9,0,0,0,0,102,83,2,4,503,0,0,0,1,0,10,0,24,0,7,11,110,32,13,88,1,58,630,17,10,1,5,88,3,2,11,1,0,9,1716,2,17,1,1,40,0,19,1,0,18,0,1,0,154,22,37,25,12,0,0,0,0,0,2,573,0,0,8,1,10,0,15,2,38,22,0,56,0,75,32,0,2,16,1,0,2987,5,13,62,0,7,11,0,11,1,63,1,4,71,5,13,2,6,19,6,955,0,1,0,54,2332,20,37,42,11,1,6,5,0,14,0,16,4,7,18,0,3,3,1,17,82,7819,52,2,17,0,6,109,0,2,19,8,5,19,113,26,0,44,0,0,20,0,2,42,0,7,12,0,1,17,0,17,17,0,1,0,4,227,0,4,29000
LTEE.6..1,6,1,9.9.11,Sep,Fall,2011,Fall2011,Sep2011,19.5,>19C,7.9,<8,6.532,6-7,Pre substrate addition,17.90143,129.9090909,116,4.312913621,0.912809263,0,35,0,0,0,281,0,0,0,12,0,0,1,0,0,0,0,8,8,7,11,1,77,147,1,0,24,0,0,0,0,0,0,10,0,0,12,4,0,182,110,2,0,0,0,0,1,3,0,22,0,513,0,8,2,410,0,1,5,0,27,33,0,3,569,171,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9,0,0,138,0,0,4,763,2,1,3,5,1,0,2,0,0,42,0,0,0,391,0,70,0,12,7,0,12,69,290,0,72,0,2,2777,0,197,1,0,2,11,0,3,0,0,0,0,0,123,0,759,0,0,0,0,4733,1,3,130,263,3,0,1050,0,4,0,2,0,151,0,10,4,0,34,0,32,1680,1,134,0,3,0,1,44,0,0,1,3,0,0,51,64,0,0,1,710,1,0,0,22,0,5024,0,3,21,0,39,0,184,0,27,0,0,0,1,1,2,0,2,1950,6,0,6,80,470,10,0,191,0,36,2575,0,0,0,0,447,19,109,182,6,29000
LTEE.6..2,6,2,10.21.11,Oct,Fall,2011,Fall2011,Oct2011,11,<12C,10.08,>10,5.93,5-6,Pre substrate addition,17.26847,168.6470588,148,3.442590789,0.816540095,40,20,34,0,971,0,26,2,35,13,0,26,0,5,1,68,7,223,2,44,30,1,0,0,1,0,0,8,0,0,0,0,3,57,1,7,15,0,3,254,0,1,0,21,1,1,33,7,0,16,11,0,0,2,0,0,13,1,0,21,1,0,2,6029,0,0,60,1,60,13,728,88,56,6,621,0,2,9,0,12,62,2,0,3,25,54,58,1,21,0,0,0,0,19,3,6,0,2,1,42,26,5,28,18,0,0,0,0,17,0,46,4,0,0,0,0,15,1,109,1,0,0,0,0,0,1,0,51,0,2,6,6,107,0,0,1,0,6,0,2159,2,597,56,0,5,0,1,14,20,100,0,4,170,202,10,2,2,18,0,175,0,194,0,1,0,27,16,34,2,23,13,2,87,0,0,8,14,2,21,0,5,45,17,7,89,9866,2,3569,7,0,1,20,0,0,12,0,1,0,19,0,0,1,10,0,15,7,2,20,0,1,0,0,785,12,0,1,7,1,32,0,1,1,0,1,29000
LTEE.6..3,6,3,12.2.11,Dec,Winter,2011,Winter2011,Dec2011,4.9,<12C,11.2,>10,5.8,5-6,Pre substrate addition,17.09481,163.8333333,151,3.554750104,0.834992024,8,1,17,0,1620,0,3,0,8,3,0,6,7,0,6,93,5,310,1,9,6,18,0,0,2,1,0,6,0,3,0,2,8,4,9,3,4,16,0,15,0,3,4,16,7,4,26,10,1,1,33,0,5,0,23,0,0,0,0,63,102,0,2,9625,0,0,83,0,78,3,2044,16,107,2,659,1,0,8,2,23,14,1,0,1,53,15,16,3,39,3,0,0,0,28,0,8,2,1,0,85,2,7,39,0,0,1,0,1,7,1,12,2,0,0,1,0,6,2,139,0,0,0,0,7,0,18,4,13,0,1,2,17,13,0,0,0,1,7,2,885,1,1464,13,0,4,0,0,23,1,34,2,5,9,442,3,6,136,11,2,221,0,258,0,1,3,55,60,20,3,19,22,0,113,0,0,1,49,0,13,0,1,99,43,0,12,1787,0,5352,11,0,0,38,0,0,2,0,4,0,40,4,0,0,4,0,2,15,3,6,0,1,1,0,1890,9,0,2,9,0,65,0,0,2,0,0,29000
LTEE.6..4,6,4,4.4.12,Apr,Spring,2012,Spring2012,Apr2012,17.8,12-19C,9.03,8 to 10,7.61,>7,Pre substrate addition,16.17756,181,151,3.377866126,0.801228338,23,23,1,3,52,0,0,6,6,18,0,4,14,0,0,0,6,29,2,0,44,3,0,0,6,1,0,0,23,0,0,4,0,2,5,24,23,51,14,172,0,12,3,8,8,3,10,43,1,10,1,0,5,6,35,0,2,8,0,1,254,5,1,3076,0,0,25,3,44,5,606,54,91,3,887,0,0,25,1,3,44,0,0,7,2,23,131,0,12,45,1,0,0,3,5,5,0,8,1,28,20,5,28,23,1,2,0,0,32,0,19,5,0,0,0,0,4,22,832,0,0,0,0,30,1,0,8,30,0,0,1,5,64,0,0,0,2,1,4,2501,7,1132,114,0,117,0,0,3,1,30,6,0,98,190,18,23,0,7,3,1515,0,8,0,0,3,0,103,29,0,1,3,4,46,0,0,20,1,1,4,0,7,6,3,13,22,11434,1,3876,16,5,4,5,0,3,22,0,5,0,1,0,0,0,4,0,33,8,1,88,0,13,1,0,100,19,0,0,7,0,26,0,0,32,0,5,29000
LTEE.6..5,6,5,5.16.12,May,Spring,2012,Spring2012,May2012,18.2,12-19C,9.1,8 to 10,5.14,5-6,Pre substrate addition,14.50676,154.2727273,127,3.524845887,0.861344742,10,2,0,0,14,0,0,0,9,0,0,0,12,0,0,0,0,96,9,21,17,0,0,0,0,0,1,2,23,0,0,4,1,11,226,0,4,43,0,67,0,28,0,0,0,1,1,11,7,4,0,0,9,1,43,0,0,0,0,193,344,0,1,6893,0,0,28,5,2,0,1,2,11,0,26,640,1087,0,0,1,1,1,0,6,14,11,19,0,0,16,0,1,0,60,7,5,0,4,2,26,4,14,7,6,0,8,0,7,18,0,1,6,0,0,0,0,6,19,1041,0,0,28,1,25,0,0,2,2,0,0,0,0,17,1,0,0,0,12,7,3782,2,2840,29,0,97,2,0,0,1,21,1,1,17,1,13,0,0,4,58,2008,0,38,0,0,8,120,0,17,3,0,0,5,45,0,0,12,0,0,7,0,1,2,0,1,7,6079,19,179,29,4,0,15,0,16,8,0,0,0,482,56,0,0,1,0,10,0,1,10,0,8,0,1,1589,25,0,0,1,0,0,0,0,7,0,1,29000
LTEE.6..6,6,6,6.27.12,Jun,Summer,2012,Summer2012,Jun2012,23.9,>19C,na,na,4,<5,Pre substrate addition,13.40216,126.8823529,112,1.500128847,0.331075329,6,16,0,0,47,0,0,1,4,15,0,2,1,0,0,0,0,18,8,105,86,0,3,0,13,2,0,0,0,0,0,0,0,12,6,0,37,10,0,182,0,1,0,0,0,0,0,30,3,15,0,0,1,47,4,0,2,8,0,0,52,6,0,133,0,0,0,6,0,0,1,0,0,0,2,1,15,0,1,0,1,1,0,1,1,3,209,0,0,16,0,1,0,2,0,0,8,4,0,0,12,0,0,36,0,0,0,0,54,49,1,3,0,0,0,0,2,10,487,0,0,2,1,2,16,0,1,2,0,167,2,1,81,0,0,0,0,0,1,969,4,36,217,0,94,0,0,0,4,10,12,0,92,0,35,16,0,2,0,1154,0,1,0,0,1,13,0,2,0,0,18,0,1,0,0,10,1,0,0,0,2,0,0,12,10,23659,0,2,5,1,4,0,0,0,12,0,3,0,2,0,0,1,0,0,37,0,6,103,0,6,0,0,104,6,0,0,0,2,0,0,14,227,0,11,29000
LTEE.6..7,6,7,8.9.12,Aug,Summer,2012,Summer2012,Aug2012,24.7,>19C,7.5,<8,6.12,6-7,Post substrate addition 1,17.28461,175.2307692,154,3.637543171,0.826964383,0,0,0,60,179,0,1,5,1,1,16,2,4,0,14,135,0,10290,0,15,11,4,0,0,0,0,0,534,0,14,35,1,10,0,1,12,4,27,17,36,0,3,3,4,35,19,0,25,2,2,309,0,3,1,17,0,0,0,0,193,116,0,20,886,0,0,1,1,0,1,1,9,0,1,16,133,86,52,197,0,33,1274,43,5,2,2,52,20,9,9,0,1,0,3270,1,21,1,2,41,0,2,0,0,9,0,1,0,453,8,47,16,0,0,0,0,0,0,1,490,0,0,18,7,7,0,0,2,31,51,26,42,2,5,27,0,24,31,1,0,440,3,21,27,0,0,31,0,36,0,36,0,14,6,0,6,1,0,4,40,849,0,3,0,130,4403,41,125,9,5,4,8,1,1,5,0,7,6,9,8,0,0,4,4,4,36,2253,165,3,2,0,1,139,0,2,3,17,0,17,201,28,0,38,1,1,6,2,3,14,0,7,18,0,12,1,0,28,10,0,0,0,4,45,0,0,29000
LTEE.6..8,6,8,9.19.12,Sep,Fall,2012,Fall2012,Sep2012,16.9,12-19C,8.05,8 to 10,6.48,6-7,Post substrate addition 1,18.22016,178,161,3.194969297,0.75970327,0,15,0,28,67,0,1,1,1,18,3,12,1,0,6,41,0,7568,3,99,45,4,0,0,0,1,0,180,0,4,20,3,7,8,1,11,31,14,12,119,0,0,3,2,4,15,0,34,1,5,99,0,3,21,11,0,0,0,0,55,106,4,3,476,0,0,0,0,0,7,0,25,0,5,3,46,14,22,80,1,67,474,10,6,1,3,139,2,3,25,1,0,56,1021,2,22,10,2,26,0,12,2,0,29,0,3,0,93,38,17,22,3,0,0,0,0,0,4,500,0,1,9,1,13,3,5,0,76,18,0,42,1,43,14,0,5,8,6,50,844,2,14,124,0,5,11,0,15,0,95,0,7,51,3,19,0,1,8,8,973,0,1,0,39,1789,18,35,8,5,2,17,0,1,17,0,6,1,3,20,0,1,0,2,12,137,11744,48,5,7,0,6,109,0,6,7,11,0,8,95,8,0,18,0,0,21,0,4,56,0,4,10,0,9,7,0,17,5,3,0,0,4,230,0,7,29000
LTEE.7..1,7,1,9.9.11,Sep,Fall,2011,Fall2011,Sep2011,19.5,>19C,7.9,<8,6.532,6-7,Pre substrate addition,9.65433,98.42857143,79,1.952209181,0.623759838,0,77,1,0,0,0,0,1,0,12,0,0,0,1,0,0,0,8,9,2,30,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,4,0,0,1135,0,0,0,0,0,0,0,2,1,46,0,0,0,7,0,0,3,7,0,0,0,17,0,3,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,13,0,0,61,0,0,0,0,3,0,4,12,0,0,3,1,0,138,0,0,1,0,0,0,1,23,7,0,30,0,0,0,0,0,4,885,0,0,0,2,0,33,0,0,0,0,0,0,0,294,0,0,0,0,0,0,13029,2,0,62,0,3,0,0,0,0,1,0,0,346,4,21,6,2,6,0,59,1,0,0,0,1,0,0,57,0,0,1,16,0,0,0,29,0,0,0,0,8,0,0,52,0,12013,0,2,61,0,6,0,0,22,24,0,1,0,1,0,0,0,1,0,16,0,1,29,0,15,0,0,0,65,0,0,0,0,0,0,17,110,0,3,29000
LTEE.7..6,7,6,6.27.12,Jun,Summer,2012,Summer2012,Jun2012,23.9,>19C,na,na,4,<5,Pre substrate addition,15.77379,152.6666667,127,2.217444196,0.488289667,4,17,0,4,80,0,5,5,3,27,1,0,1,0,0,0,0,14,7,1142,82,0,126,0,18,0,0,1,0,0,0,12,0,2,19,0,50,35,0,197,0,27,2,0,0,0,0,41,11,8,0,0,4,39,30,0,3,24,0,5,251,4,0,249,0,0,0,16,0,0,0,0,0,0,5,19,17,0,0,0,0,1,0,1,4,5,172,0,0,56,0,22,0,1,0,0,121,22,1,0,23,1,0,49,24,5,0,2,57,14,2,0,0,1,0,0,1,3,706,0,0,6,49,16,16,0,6,0,0,261,3,2,66,0,0,0,1,5,2,730,2,48,221,0,51,0,0,0,1,2,7,1,46,1,30,16,0,1,1,1585,1,6,0,0,1,25,0,6,0,0,301,0,1,0,0,18,3,0,1,0,3,0,0,24,13,20611,3,6,6,0,6,0,0,26,1,0,7,0,5,3,0,0,0,0,48,0,8,105,0,1,0,0,198,3,0,0,0,33,0,8,50,380,0,12,29000
LTEE.8..1,8,1,9.9.11,Sep,Fall,2011,Fall2011,Sep2011,19.5,>19C,7.9,<8,6.532,6-7,Pre substrate addition,17.96663,133.25,107,3.322069721,0.771868407,0,69,0,0,1,234,0,4,0,44,0,0,1,0,0,0,0,18,7,1,24,1,15,45,4,0,182,0,0,0,0,0,0,2,0,0,19,0,0,546,889,0,0,0,0,0,0,9,0,41,0,0,0,10,0,6,0,2,376,0,1,77,0,4,27,151,0,8,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,5,0,0,273,0,0,0,225,1,0,2,3,0,0,4,1,0,88,0,0,0,66,0,185,1,23,1,0,24,183,64,0,143,0,1,2680,0,146,0,6,0,10,0,0,0,0,2,0,0,321,0,0,0,0,0,0,5569,6,2,329,2,1,0,227,0,3,0,0,0,382,0,18,0,0,27,0,6,128,0,85,0,6,1,0,43,0,0,1,7,0,0,117,74,0,0,1,56,8,0,0,20,0,12265,2,0,30,0,11,1,30,0,54,0,0,0,0,0,258,0,1,189,25,0,1,166,0,19,0,83,0,24,972,0,0,0,0,232,15,90,109,24,29000
LTEE.8..2,8,2,10.21.11,Oct,Fall,2011,Fall2011,Oct2011,11,<12C,10.08,>10,5.93,5-6,Pre substrate addition,19.85385,151.7142857,132,1.477784254,0.29129113,15,23,2,0,38,6,4,0,14,3,1,5,0,7,0,2,0,19,2,56,89,0,64,2,0,0,29,1,0,0,0,0,0,54,0,0,7,0,0,183,111,0,0,0,0,0,0,10,0,10,0,0,0,1,0,0,17,2,7,8,0,1,0,426,7,15,6,2,1,3,74,11,2,0,22,0,0,0,0,1,3,0,0,0,0,8,57,0,0,0,51,0,0,1,0,0,8,1,0,4,16,0,1,5,158,0,21,0,58,0,3,4,0,127,0,68,17,0,56,2,26,0,0,0,0,1,0,11,0,4,2,0,42,0,0,0,0,0,0,466,6,228,35,111,9,0,26,1,29,13,3,1,78,10,26,5,0,1,0,110,5,4,26,0,1,2,3,5,1,1,17,1,8,0,29,1,0,0,1,103,6,1,0,21,19,24394,0,120,2,0,0,3,34,0,2,0,0,0,1,1,8,0,31,2,32,0,0,17,0,0,0,193,93,6,0,0,0,5,1,508,4,1,5,6,29000
LTEE.8..3,8,3,12.2.11,Dec,Winter,2011,Winter2011,Dec2011,4.9,<12C,11.2,>10,5.8,5-6,Pre substrate addition,20.02839,163.0833333,142,3.613643898,0.861471862,3,2,7,0,1379,0,6,0,9,0,0,6,2,0,3,95,7,190,0,7,10,9,2,0,0,0,0,2,0,0,0,2,1,6,4,1,0,22,1,13,9,0,13,11,4,5,35,3,2,1,26,0,1,0,29,0,0,0,0,42,152,0,4,7563,0,3,141,1,67,9,1833,18,124,0,649,0,0,0,1,11,20,0,0,2,46,40,13,0,41,15,1,0,1,16,0,3,2,0,1,136,1,7,29,1,0,4,0,0,5,0,6,0,0,4,34,0,14,14,50,0,0,0,0,18,0,45,5,16,0,0,0,9,6,0,0,1,0,4,0,287,0,3984,5,14,28,0,0,35,0,41,1,5,2,444,5,9,322,6,0,96,0,172,0,0,2,53,37,11,5,28,17,1,143,0,3,0,43,1,10,0,1,93,18,0,8,2999,0,5025,3,0,0,26,3,0,0,0,0,0,36,5,0,1,0,0,4,17,1,1,0,1,0,4,1699,2,0,1,0,0,64,9,3,9,0,1,29000
LTEE.8..4,8,4,4.4.12,Apr,Spring,2012,Spring2012,Apr2012,17.8,12-19C,9.03,8 to 10,7.61,>7,Pre substrate addition,10.36621,106,76,0.416974552,0.076697348,0,17,1,1,2,0,0,0,0,3,0,0,1,0,0,0,0,6,0,0,73,0,13,0,1,0,0,1,0,0,0,1,0,1,0,0,4,9,0,127,1,9,0,0,0,0,0,7,0,2,0,0,0,7,8,0,1,2,0,1,41,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,21,0,1,0,1,0,0,0,0,0,0,5,0,0,5,2,2,0,0,64,0,0,0,0,0,0,0,0,12,65,0,0,0,3,4,0,0,1,0,0,2,0,1,10,0,0,0,0,0,0,206,1,0,31,0,47,0,0,0,0,1,3,0,37,1,33,7,0,0,0,107,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,10,1,27864,0,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,2,11,0,0,0,0,0,2,0,0,0,0,0,1,0,5,0,3,29000
LTEE.8..5,8,5,5.16.12,May,Spring,2012,Spring2012,May2012,18.2,12-19C,9.1,8 to 10,5.14,5-6,Pre substrate addition,21.29665,187.5555556,160,1.879860249,0.404405491,12,17,0,1,9,6,0,2,10,4,0,9,0,1,0,0,2,47,14,4,73,0,17,0,1,0,0,0,1,0,0,1,0,32,2,2,10,7,0,154,88,2,1,1,0,0,0,13,0,12,1,0,0,10,1,0,9,20,17,1,24,2,1,876,0,11,5,1,27,3,178,65,27,0,310,0,0,2,1,0,35,4,0,1,0,12,52,1,5,5,43,1,0,6,1,0,0,2,0,5,17,3,20,9,32,0,14,0,62,4,27,4,0,42,0,5,5,5,113,2,16,1,1,3,10,0,1,54,0,14,0,5,64,0,1,0,0,0,0,870,9,180,47,39,102,0,0,1,15,18,2,2,87,65,39,3,0,2,0,207,9,4,12,4,9,0,27,13,0,1,0,1,5,0,24,2,0,1,1,20,7,3,4,12,16,22286,0,1535,6,2,3,2,16,1,2,0,2,0,1,0,17,0,0,19,52,7,4,35,0,1,1,68,23,11,1,0,1,0,8,141,8,25,0,5,29000
LTEE.8..6,8,6,6.27.12,Jun,Summer,2012,Summer2012,Jun2012,23.9,>19C,na,na,4,<5,Pre substrate addition,15.81605,154,129,1.593954546,0.328204718,6,8,1,0,170,25,3,39,3,14,0,0,2,3,0,0,0,32,2,50,85,0,18,186,1,1,0,0,0,0,0,8,0,4,51,0,25,28,1,140,0,60,1,0,0,0,0,20,12,5,0,0,5,1,16,0,1,1,0,2,136,0,0,520,0,0,0,3,0,0,0,2,0,0,19,25,56,0,0,0,0,4,0,2,1,8,90,0,0,32,39,15,0,4,0,1,5,5,1,0,6,2,0,31,29,0,0,3,71,1,1,0,0,0,0,0,0,0,366,0,9,5,76,12,13,0,1,2,4,339,1,5,29,0,0,0,0,0,0,586,12,10,121,0,5,1,0,0,1,12,3,1,59,0,38,10,0,1,0,679,0,12,0,0,4,32,0,8,0,0,6,2,0,0,0,2,9,0,1,0,5,0,0,8,26,23736,1,7,5,0,2,4,1,0,2,0,3,0,5,3,0,0,0,91,40,0,0,45,0,0,0,1,258,1,50,1,0,4,0,37,0,8,26,11,29000
LTEE.8..7,8,7,8.9.12,Aug,Summer,2012,Summer2012,Aug2012,24.7,>19C,7.5,<8,6.12,6-7,Post substrate addition 1,15.8183,216.125,146,1.644329299,0.358491731,1,30,0,6,29,0,1,1,2,5,0,6,0,0,0,13,0,1398,12,21,65,0,0,0,2,1,1,42,0,0,6,1,1,1,0,0,16,7,0,257,0,3,1,1,1,1,0,13,0,21,34,0,0,23,8,0,1,17,1,17,26,1,1,107,0,0,0,8,0,4,1,10,0,0,1,9,18,4,10,0,41,156,2,0,1,4,65,0,0,7,0,5,0,273,0,1,2,2,16,0,30,0,0,10,0,0,0,18,66,33,13,3,0,0,0,0,1,0,131,0,0,1,7,0,10,0,1,35,5,3,25,0,57,3,0,0,1,2,1,1060,9,7,59,0,3,5,0,4,3,41,0,1,105,0,43,4,0,4,12,257,0,1,0,10,416,9,11,15,7,0,2,3,0,12,0,7,0,7,6,0,7,0,0,22,95,23150,10,1,7,0,3,19,0,0,7,3,8,3,31,1,1,7,1,0,38,0,5,24,0,0,1,0,3,7,0,7,1,0,1,0,7,104,0,5,29000
LTEE.8..8,8,8,9.19.12,Sep,Fall,2012,Fall2012,Sep2012,16.9,12-19C,8.05,8 to 10,6.48,6-7,Post substrate addition 1,16.36443,171.375,146,2.462345425,0.621342212,4,8,0,26,53,0,2,0,5,3,7,6,3,1,4,31,0,5193,0,17,43,0,0,0,1,0,0,211,0,5,15,1,8,2,0,0,1,7,1,96,0,1,1,2,1,20,0,3,2,2,102,0,1,23,4,0,0,0,0,65,39,0,5,523,0,0,1,1,0,4,1,31,0,1,1,55,6,2,44,0,100,487,13,0,1,7,54,2,0,11,0,0,4,1217,0,1,2,0,34,0,10,0,0,1,0,0,0,80,39,38,33,1,0,0,0,0,0,2,20,0,0,7,3,4,6,1,1,125,10,1,57,1,18,9,0,2,6,0,0,165,5,14,8,0,9,19,0,10,0,136,1,1,13,2,22,1,0,1,5,50,0,4,0,33,1668,7,26,6,9,0,4,1,0,22,0,0,4,13,24,0,4,0,0,8,159,16925,49,0,2,0,0,111,0,1,2,8,0,7,104,9,0,11,2,0,25,0,5,5,0,0,11,0,4,0,0,13,0,1,0,0,4,142,0,2,29000
LTEE.9..1,9,1,9.9.11,Sep,Fall,2011,Fall2011,Sep2011,19.5,>19C,7.9,<8,6.532,6-7,Pre substrate addition,11.76316,125.0769231,102,1.490459277,0.407770897,7,69,0,0,9,0,0,2,3,1,0,1,0,1,0,0,0,25,3,0,70,0,0,0,6,0,0,1,0,0,0,0,0,3,7,0,2,0,0,531,0,2,2,0,0,0,0,0,1,43,0,0,0,21,0,0,1,5,0,9,3,3,0,329,0,0,2,33,0,0,3,0,0,0,5,8,8,0,0,0,1,3,0,4,0,9,14,0,0,0,0,0,0,3,5,0,0,1,0,3,62,2,0,0,0,0,0,1,71,2,0,10,0,0,0,0,2,0,143,0,0,1,1,0,3,0,0,0,0,1,2,0,228,0,0,0,0,0,0,4241,1,115,20,0,2,0,0,0,1,11,0,0,323,0,38,0,1,4,0,2,0,5,0,0,1,7,0,45,1,0,1,6,2,1,0,1,0,1,1,0,11,0,0,32,20,21896,0,7,29,0,4,3,0,0,8,0,0,0,9,4,0,0,1,0,45,0,1,10,0,0,0,0,140,47,1,0,0,0,0,0,7,96,0,7,29000
